"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2008 - 11","137985","34.8","4","33.3","17.4","2","100.0","8.7","1","NaN.0"
"2008 - 12","137996","17.4","2","-50.0","34.8","4","100.0","0","0","-100.0"
"2009 - 01","138007","8.7","1","-50.0","26.1","3","-25.0","0","0","NaN.0"
"2009 - 02","138018","26.1","3","200.0","8.7","1","-66.7","0","0","NaN.0"
"2009 - 03","138029","8.7","1","-66.7","8.7","1","0.0","8.7","1","NaN.0"
"2009 - 04","138040","8.7","1","0.0","8.7","1","0.0","17.4","2","100.0"
"2009 - 05","138050","60.8","7","600.0","17.4","2","100.0","0","0","-100.0"
"2009 - 06","138061","26.1","3","-57.1","26.1","3","50.0","0","0","NaN.0"
"2009 - 07","138072","8.7","1","-66.7","17.4","2","-33.3","0","0","NaN.0"
"2009 - 08","138048","8.7","1","0.0","8.7","1","-50.0","0","0","NaN.0"
"2009 - 09","138024","8.7","1","0.0","8.7","1","0.0","0","0","NaN.0"
"2009 - 10","138000","0","0","-100.0","0","0","-100.0","0","0","NaN.0"
"2009 - 11","137975","8.7","1","NaN.0","0","0","NaN.0","0","0","NaN.0"
"2009 - 12","137951","8.7","1","0.0","8.7","1","NaN.0","0","0","NaN.0"
"2010 - 01","137927","0","0","-100.0","0","0","-100.0","0","0","NaN.0"
"2010 - 02","137903","8.7","1","NaN.0","0","0","NaN.0","8.7","1","NaN.0"
"2010 - 03","137879","43.5","5","400.0","8.7","1","NaN.0","0","0","-100.0"
"2010 - 04","137855","26.1","3","-40.0","8.7","1","0.0","0","0","NaN.0"
"2010 - 05","137830","0","0","-100.0","8.7","1","0.0","8.7","1","NaN.0"
"2010 - 06","137806","34.8","4","NaN.0","26.1","3","200.0","0","0","-100.0"
"2010 - 07","137782","17.4","2","-50.0","17.4","2","-33.3","0","0","NaN.0"
"2010 - 08","137771","26.1","3","50.0","17.4","2","0.0","8.7","1","NaN.0"
"2010 - 09","137760","34.8","4","33.3","17.4","2","0.0","0","0","-100.0"
"2010 - 10","137749","17.4","2","-50.0","0","0","-100.0","0","0","NaN.0"
"2010 - 11","137738","8.7","1","-50.0","26.1","3","NaN.0","0","0","NaN.0"
"2010 - 12","137727","17.4","2","100.0","17.4","2","-33.3","0","0","NaN.0"
"2011 - 01","137716","17.4","2","0.0","8.7","1","-50.0","0","0","NaN.0"
"2011 - 02","137704","26.1","3","50.0","17.4","2","100.0","0","0","NaN.0"
"2011 - 03","137693","17.4","2","-33.3","8.7","1","-50.0","0","0","NaN.0"
"2011 - 04","137682","17.4","2","0.0","17.4","2","100.0","0","0","NaN.0"
"2011 - 05","137671","17.4","2","0.0","17.4","2","0.0","0","0","NaN.0"
"2011 - 06","137660","17.4","2","0.0","8.7","1","-50.0","8.7","1","NaN.0"
"2011 - 07","137649","17.4","2","0.0","17.4","2","100.0","17.4","2","100.0"
"2011 - 08","137612","26.2","3","50.0","8.7","1","-50.0","0","0","-100.0"
"2011 - 09","137575","34.9","4","33.3","8.7","1","0.0","0","0","NaN.0"
"2011 - 10","137537","43.6","5","25.0","26.2","3","200.0","0","0","NaN.0"
"2011 - 11","137500","8.7","1","-80.0","8.7","1","-66.7","0","0","NaN.0"
"2011 - 12","137463","43.6","5","400.0","26.2","3","200.0","0","0","NaN.0"
"2012 - 01","137426","8.7","1","-80.0","0","0","-100.0","0","0","NaN.0"
"2012 - 02","137388","0","0","-100.0","8.7","1","NaN.0","0","0","NaN.0"
"2012 - 03","137351","17.5","2","NaN.0","17.5","2","100.0","0","0","NaN.0"
"2012 - 04","137314","26.2","3","50.0","26.2","3","50.0","0","0","NaN.0"
"2012 - 05","137277","0","0","-100.0","0","0","-100.0","0","0","NaN.0"
"2012 - 06","137239","26.2","3","NaN.0","43.7","5","NaN.0","0","0","NaN.0"
"2012 - 07","137202","61.2","7","133.3","17.5","2","-60.0","0","0","NaN.0"
"2012 - 08","137221","43.7","5","-28.6","26.2","3","50.0","0","0","NaN.0"
"2012 - 09","137239","35","4","-20.0","17.5","2","-33.3","8.7","1","NaN.0"
