"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2010 - 01","448401","32.1","12","9.1","13.4","5","0.0","2.7","1","-66.7"
"2010 - 02","448656","24.1","9","-25.0","21.4","8","60.0","0","0","-100.0"
"2010 - 03","448910","21.4","8","-11.1","8","3","-62.5","8","3","NaN.0"
"2010 - 04","449165","32.1","12","50.0","10.7","4","33.3","5.3","2","-33.3"
"2010 - 05","449419","10.7","4","-66.7","5.3","2","-50.0","8","3","50.0"
"2010 - 06","449674","24","9","125.0","10.7","4","100.0","2.7","1","-66.7"
"2010 - 07","449928","45.3","17","88.9","40","15","275.0","2.7","1","0.0"
"2010 - 08","450171","34.7","13","-23.5","29.3","11","-26.7","2.7","1","0.0"
"2010 - 09","450414","40","15","15.4","13.3","5","-54.5","2.7","1","0.0"
"2010 - 10","450657","29.3","11","-26.7","8","3","-40.0","5.3","2","100.0"
"2010 - 11","450900","26.6","10","-9.1","16","6","100.0","2.7","1","-50.0"
"2010 - 12","451143","39.9","15","50.0","23.9","9","50.0","5.3","2","100.0"
"2011 - 01","451387","26.6","10","-33.3","16","6","-33.3","0","0","-100.0"
"2011 - 02","451630","26.6","10","0.0","13.3","5","-16.7","8","3","NaN.0"
"2011 - 03","451873","31.9","12","20.0","15.9","6","20.0","2.7","1","-66.7"
"2011 - 04","452116","50.4","19","58.3","29.2","11","83.3","0","0","-100.0"
"2011 - 05","452359","23.9","9","-52.6","10.6","4","-63.6","5.3","2","NaN.0"
"2011 - 06","452602","13.3","5","-44.4","8","3","-25.0","2.7","1","-50.0"
"2011 - 07","452845","29.1","11","120.0","7.9","3","0.0","0","0","-100.0"
"2011 - 08","453233","37.1","14","27.3","15.9","6","100.0","2.6","1","NaN.0"
"2011 - 09","453620","23.8","9","-35.7","7.9","3","-50.0","5.3","2","100.0"
"2011 - 10","454008","15.9","6","-33.3","10.6","4","33.3","0","0","-100.0"
"2011 - 11","454395","15.8","6","0.0","10.6","4","0.0","5.3","2","NaN.0"
"2011 - 12","454783","31.7","12","100.0","23.7","9","125.0","0","0","-100.0"
"2012 - 01","455170","29","11","-8.3","7.9","3","-66.7","2.6","1","NaN.0"
"2012 - 02","455558","23.7","9","-18.2","7.9","3","0.0","5.3","2","100.0"
"2012 - 03","455945","34.2","13","44.4","13.2","5","66.7","5.3","2","0.0"
"2012 - 04","456333","15.8","6","-53.8","13.1","5","0.0","2.6","1","-50.0"
"2012 - 05","456720","34.2","13","116.7","21","8","60.0","13.1","5","400.0"
"2012 - 06","457108","36.8","14","7.7","13.1","5","-37.5","7.9","3","-40.0"
"2012 - 07","457495","21","8","-42.9","7.9","3","-40.0","18.4","7","133.3"
"2012 - 08","457826","21","8","0.0","23.6","9","200.0","13.1","5","-28.6"
"2012 - 09","458158","23.6","9","12.5","18.3","7","-22.2","2.6","1","-80.0"
"2012 - 10","458489","15.7","6","-33.3","13.1","5","-28.6","13.1","5","400.0"
"2012 - 11","458820","26.2","10","66.7","23.5","9","80.0","13.1","5","0.0"
"2012 - 12","459151","26.1","10","0.0","7.8","3","-66.7","7.8","3","-40.0"
"2013 - 01","459483","34","13","30.0","15.7","6","100.0","7.8","3","0.0"
"2013 - 02","459814","13","5","-61.5","13","5","-16.7","10.4","4","33.3"
"2013 - 03","460145","15.6","6","20.0","26.1","10","100.0","2.6","1","-75.0"
"2013 - 04","460476","18.2","7","16.7","10.4","4","-60.0","5.2","2","100.0"
"2013 - 05","460808","31.2","12","71.4","23.4","9","125.0","7.8","3","50.0"
"2013 - 06","461139","18.2","7","-41.7","5.2","2","-77.8","5.2","2","-33.3"
"2013 - 07","461470","23.4","9","28.6","10.4","4","100.0","7.8","3","50.0"
"2013 - 08","461785","33.8","13","44.4","23.4","9","125.0","7.8","3","0.0"
"2013 - 09","462101","39","15","15.4","28.6","11","22.2","5.2","2","-33.3"
"2013 - 10","462416","15.6","6","-60.0","18.2","7","-36.4","2.6","1","-50.0"
"2013 - 11","462732","31.1","12","100.0","18.2","7","0.0","5.2","2","100.0"
"2013 - 12","463047","28.5","11","-8.3","15.5","6","-14.3","5.2","2","0.0"
"2014 - 01","463363","15.5","6","-45.5","12.9","5","-16.7","5.2","2","0.0"
"2014 - 02","463678","18.1","7","16.7","15.5","6","20.0","5.2","2","0.0"
"2014 - 03","463993","18.1","7","0.0","20.7","8","33.3","7.8","3","50.0"
"2014 - 04","464309","18.1","7","0.0","10.3","4","-50.0","2.6","1","-66.7"
"2014 - 05","464624","10.3","4","-42.9","12.9","5","25.0","5.2","2","100.0"
"2014 - 06","464940","20.6","8","100.0","18.1","7","40.0","0","0","-100.0"
"2014 - 07","465255","38.7","15","87.5","12.9","5","-28.6","0","0","NaN.0"
"2014 - 08","465604","28.4","11","-26.7","12.9","5","0.0","0","0","NaN.0"
"2014 - 09","465953","30.9","12","9.1","25.8","10","100.0","2.6","1","NaN.0"
"2014 - 10","466302","25.7","10","-16.7","23.2","9","-10.0","2.6","1","0.0"
"2014 - 11","466650","28.3","11","10.0","18","7","-22.2","0","0","-100.0"
"2014 - 12","466999","12.8","5","-54.5","12.8","5","-28.6","2.6","1","NaN.0"
"2015 - 01","467348","18","7","40.0","15.4","6","20.0","2.6","1","0.0"
"2015 - 02","467697","15.4","6","-14.3","10.3","4","-33.3","2.6","1","0.0"
"2015 - 03","468046","17.9","7","16.7","7.7","3","-25.0","5.1","2","100.0"
"2015 - 04","468395","25.6","10","42.9","20.5","8","166.7","2.6","1","-50.0"
"2015 - 05","468743","25.6","10","0.0","17.9","7","-12.5","7.7","3","200.0"
"2015 - 06","469092","48.6","19","90.0","30.7","12","71.4","5.1","2","-33.3"
"2015 - 07","469441","30.7","12","-36.8","30.7","12","0.0","12.8","5","150.0"
"2015 - 08","469978","20.4","8","-33.3","15.3","6","-50.0","5.1","2","-60.0"
"2015 - 09","470514","35.7","14","75.0","25.5","10","66.7","2.6","1","-50.0"
"2015 - 10","471051","22.9","9","-35.7","12.7","5","-50.0","7.6","3","200.0"
"2015 - 11","471588","33.1","13","44.4","22.9","9","80.0","5.1","2","-33.3"
"2015 - 12","472124","35.6","14","7.7","22.9","9","0.0","5.1","2","0.0"
"2016 - 01","472661","43.2","17","21.4","20.3","8","-11.1","2.5","1","-50.0"
"2016 - 02","473198","33","13","-23.5","25.4","10","25.0","2.5","1","0.0"
"2016 - 03","473734","32.9","13","0.0","17.7","7","-30.0","7.6","3","200.0"
"2016 - 04","474271","35.4","14","7.7","20.2","8","14.3","5.1","2","-33.3"
"2016 - 05","474808","45.5","18","28.6","15.2","6","-25.0","10.1","4","100.0"
"2016 - 06","475344","32.8","13","-27.8","20.2","8","33.3","10.1","4","0.0"
"2016 - 07","475881","32.8","13","0.0","10.1","4","-50.0","2.5","1","-75.0"
"2016 - 08","476587","47.8","19","46.2","32.7","13","225.0","0","0","-100.0"
"2016 - 09","477293","40.2","16","-15.8","25.1","10","-23.1","12.6","5","NaN.0"
"2016 - 10","477999","50.2","20","25.0","30.1","12","20.0","7.5","3","-40.0"
"2016 - 11","478705","40.1","16","-20.0","15","6","-50.0","10","4","33.3"
"2016 - 12","479411","40","16","0.0","40","16","166.7","5","2","-50.0"
"2017 - 01","480118","22.5","9","-43.7","12.5","5","-68.7","7.5","3","50.0"
"2017 - 02","480824","27.5","11","22.2","20","8","60.0","2.5","1","-66.7"
"2017 - 03","481530","37.4","15","36.4","10","4","-50.0","5","2","100.0"
"2017 - 04","482236","79.6","32","113.3","32.3","13","225.0","7.5","3","50.0"
"2017 - 05","482942","89.5","36","12.5","29.8","12","-7.7","2.5","1","-66.7"
"2017 - 06","483648","91.8","37","2.8","24.8","10","-16.7","7.4","3","200.0"
