"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2008 - 12","401838","20.9","7","40.0","9","3","0.0","14.9","5","150.0"
"2009 - 01","401620","23.9","8","14.3","9","3","0.0","14.9","5","0.0"
"2009 - 02","401402","26.9","9","12.5","12","4","33.3","6","2","-60.0"
"2009 - 03","401184","17.9","6","-33.3","9","3","-25.0","12","4","100.0"
"2009 - 04","400966","26.9","9","50.0","3","1","-66.7","0","0","-100.0"
"2009 - 05","400747","29.9","10","11.1","6","2","100.0","0","0","NaN.0"
"2009 - 06","400529","21","7","-30.0","9","3","50.0","3","1","NaN.0"
"2009 - 07","400311","36","12","71.4","12","4","33.3","3","1","0.0"
"2009 - 08","400276","30","10","-16.7","15","5","25.0","9","3","200.0"
"2009 - 09","400240","18","6","-40.0","3","1","-80.0","0","0","-100.0"
"2009 - 10","400205","21","7","16.7","15","5","400.0","9","3","NaN.0"
"2009 - 11","400170","9","3","-57.1","15","5","0.0","0","0","-100.0"
"2009 - 12","400134","24","8","166.7","18","6","20.0","9","3","NaN.0"
"2010 - 01","400099","21","7","-12.5","3","1","-83.3","6","2","-33.3"
"2010 - 02","400064","33","11","57.1","15","5","400.0","9","3","50.0"
"2010 - 03","400028","30","10","-9.1","18","6","20.0","3","1","-66.7"
"2010 - 04","399993","15","5","-50.0","6","2","-66.7","6","2","100.0"
"2010 - 05","399958","18","6","20.0","6","2","0.0","3","1","-50.0"
"2010 - 06","399922","42","14","133.3","33","11","450.0","0","0","-100.0"
"2010 - 07","399887","51","17","21.4","15","5","-54.5","12","4","NaN.0"
"2010 - 08","399869","33","11","-35.3","9","3","-40.0","0","0","-100.0"
"2010 - 09","399850","36","12","9.1","12","4","33.3","12","4","NaN.0"
"2010 - 10","399832","15","5","-58.3","3","1","-75.0","3","1","-75.0"
"2010 - 11","399813","30","10","100.0","9","3","200.0","3","1","0.0"
"2010 - 12","399795","18","6","-40.0","6","2","-33.3","18","6","500.0"
"2011 - 01","399776","24","8","33.3","12","4","100.0","15","5","-16.7"
"2011 - 02","399758","24","8","0.0","12","4","0.0","6","2","-60.0"
"2011 - 03","399739","30","10","25.0","15","5","25.0","12","4","100.0"
"2011 - 04","399721","15","5","-50.0","18","6","20.0","9","3","-25.0"
"2011 - 05","399702","21","7","40.0","9","3","-50.0","3","1","-66.7"
"2011 - 06","399684","15","5","-28.6","3","1","-66.7","0","0","-100.0"
"2011 - 07","399665","15","5","0.0","6","2","100.0","15","5","NaN.0"
"2011 - 08","399801","15","5","0.0","12","4","100.0","6","2","-60.0"
"2011 - 09","399937","42","14","180.0","15","5","25.0","6","2","0.0"
"2011 - 10","400072","21","7","-50.0","12","4","-20.0","15","5","150.0"
"2011 - 11","400208","21","7","0.0","9","3","-25.0","12","4","-20.0"
"2011 - 12","400344","24","8","14.3","3","1","-66.7","12","4","0.0"
"2012 - 01","400480","30","10","25.0","12","4","300.0","15","5","25.0"
