"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2016 - 11","2901414","22.7","55","-8.3","10.3","25","66.7","9.1","22","37.5"
"2016 - 12","2907743","28.1","68","23.6","8.3","20","-20.0","7","17","-22.7"
"2017 - 01","2914073","29.6","72","5.9","9.1","22","10.0","7.8","19","11.8"
"2017 - 02","2920403","39.4","96","33.3","9.5","23","4.5","8.2","20","5.3"
"2017 - 03","2926732","32","78","-18.7","7.8","19","-17.4","8.2","20","0.0"
"2017 - 04","2933062","48.7","119","52.6","6.5","16","-15.8","7.4","18","-10.0"
"2017 - 05","2939392","44.9","110","-7.6","6.5","16","0.0","9","22","22.2"
"2017 - 06","2945721","64","157","42.7","9.8","24","50.0","11","27","22.7"
"2017 - 07","2952051","91.5","225","43.3","13.8","34","41.7","16.3","40","48.1"
"2017 - 08","2956944","109.6","270","20.0","13","32","-5.9","12.6","31","-22.5"
"2017 - 09","2961837","84.3","208","-23.0","8.9","22","-31.2","19","47","51.6"
"2017 - 10","2966730","66.3","164","-21.2","9.3","23","4.5","8.1","20","-57.4"
"2017 - 11","2971623","38.4","95","-42.1","12.9","32","39.1","8.1","20","0.0"
"2017 - 12","2976516","40.3","100","5.3","11.3","28","-12.5","9.7","24","20.0"
"2018 - 01","2981409","42.3","105","5.0","8","20","-28.6","9.3","23","-4.2"
"2018 - 02","2986302","42.2","105","0.0","6.4","16","-20.0","4.8","12","-47.8"
"2018 - 03","2991195","52.6","131","24.8","9.6","24","50.0","8.4","21","75.0"
"2018 - 04","2996088","54.9","137","4.6","9.6","24","0.0","7.2","18","-14.3"
"2018 - 05","3000981","55.6","139","1.5","8.8","22","-8.3","8","20","11.1"
"2018 - 06","3005874","66.3","166","19.4","10.8","27","22.7","12.4","31","55.0"
"2018 - 07","3010767","58.2","146","-12.0","8.8","22","-18.5","11.6","29","-6.5"
"2018 - 08","3015150","64.1","161","10.3","8.4","21","-4.5","8.8","22","-24.1"
"2018 - 09","3019532","67.6","170","5.6","7.2","18","-14.3","10.7","27","22.7"
"2018 - 10","3023915","62.3","157","-7.6","6","15","-16.7","10.7","27","0.0"
"2018 - 11","3028298","61","154","-1.9","9.9","25","66.7","15.9","40","48.1"
"2018 - 12","3032680","49.1","124","-19.5","9.5","24","-4.0","11.9","30","-25.0"
"2019 - 01","3037063","64.4","163","31.5","6.7","17","-29.2","8.7","22","-26.7"
